"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)",
6.8,6.8,1,1,1,0,0,-0.46600248859279,9634.72468620633,
6.82,6.82,1,1,1,0,0,-0.465898895721393,9649.99479988314,
6.84,6.84,1,1,1,0,0,-0.465795302849997,9665.15941334056,
6.86,6.86,1,1,1,0,0,-0.465691709978601,9679.91752312774,
6.88,6.88,1,1,1,0,0,-0.465588146909527,9694.65059896456,
6.9,6.9,1,1,1,0,0,-0.465484554038131,9709.38367480139,
6.92,6.92,1,1,1,0,0,-0.465380961166735,9724.11615459177,
6.94,6.94,1,1,1,0,0,-0.465277368295339,9738.84923042859,
6.96,6.96,1,1,1,0,0,-0.465173775423943,9753.66158044157,
6.98,6.98,1,1,1,0,0,-0.465070182552547,9768.9239455147,
7,7,1,1,1,0,0,-0.464966589681151,9784.19405919152,
7.02,7.02,1,1,1,0,0,-0.464862996809755,9799.46417286833,
7.04,7.04,1,1,1,0,0,-0.464759403938358,9814.73428654515,
7.06,7.06,1,1,1,0,0,-0.464655811066962,9830.00440022196,
7.08,7.08,1,1,1,0,0,-0.464552218195566,9845.27451389878,
7.1,7.1,1,1,1,0,0,-0.464453930137493,9860.54462757559,
7.12,7.12,1,1,1,0,0,-0.46435799646286,9875.81474125241,
7.14,7.14,1,1,1,0,0,-0.464262092590549,9891.08485492922,
7.16,7.16,1,1,1,0,0,-0.464166158915916,9906.35496860604,
7.18,7.18,1,1,1,0,0,-0.464070255043605,9921.62508228285,
7.2,7.2,1,1,1,0,0,-0.463974321368972,9936.89519595967,
7.22,7.22,1,1,1,0,0,-0.463878417496661,9952.16530963648,
7.24,7.24,1,1,1,0,0,-0.46378251362435,9967.28760379685,
7.26,7.26,1,1,1,0,0,-0.463686579949717,9982.40453353928,
7.28,7.28,1,1,1,0,0,-0.463590676077406,9997.06369961788,
7.3,7.3,1,1,1,0,0,-0.463494742402774,10010.0098282357,
7.32,7.32,1,1,1,0,0,-0.463398838530463,10022.7068094428,
7.34,7.34,1,1,1,0,0,-0.46330290485583,10035.3680278636,
7.36,7.36,1,1,1,0,0,-0.463207000983519,10048.0292462844,
7.38,7.38,1,1,1,0,0,-0.463111067308886,10060.6904647052,
7.4,7.4,1,1,1,0,0,-0.463015163436575,10073.351683126,
7.42,7.42,1,1,1,0,0,-0.462919229761942,10086.0570089832,
7.44,7.44,1,1,1,0,0,-0.462823325889631,10099.6468677533,
7.46,7.46,1,1,1,0,0,-0.462727392214998,10113.5347497421,
7.48,7.48,1,1,1,0,0,-0.462631488342687,10127.4238238237,
7.5,7.5,1,1,1,0,0,-0.462535584470377,10141.3128979053,
7.52,7.52,1,1,1,0,0,-0.462439650795744,10155.8158998174,
7.54,7.54,1,1,1,0,0,-0.462343746923433,10171.3894011307,
