"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)",
5.2,5.2,1,1,1,0,0,-0.483905309683753,5441.23163203463,
5.22,5.22,1,1,1,0,0,-0.483805561311899,5442.17994191635,
5.24,5.24,1,1,1,0,0,-0.483705812940046,5443.44594454914,
5.26,5.26,1,1,1,0,0,-0.483606064568192,5444.71194718194,
5.28,5.28,1,1,1,0,0,-0.483506316196339,5444.67260811708,
5.3,5.3,1,1,1,0,0,-0.483406538022163,5440.85493068627,
5.32,5.32,1,1,1,0,0,-0.48330678965031,5433.61594670543,
5.34,5.34,1,1,1,0,0,-0.483207041278456,5425.82740790942,
5.36,5.36,1,1,1,0,0,-0.483107292906603,5418.03886911342,
5.38,5.38,1,1,1,0,0,-0.483007544534749,5410.25033031741,
5.4,5.4,1,1,1,0,0,-0.482907766360574,5402.4617915214,
5.42,5.42,1,1,1,0,0,-0.48280801798872,5395.89455187539,
5.44,5.44,1,1,1,0,0,-0.482708269616867,5391.84084005541,
5.46,5.46,1,1,1,0,0,-0.482608521245013,5389.99250005339,
5.48,5.48,1,1,1,0,0,-0.482508743070838,5390.00322888926,
5.5,5.5,1,1,1,0,0,-0.482408994698984,5392.04468793696,
5.52,5.52,1,1,1,0,0,-0.482309246327131,5395.82064211716,
5.54,5.54,1,1,1,0,0,-0.482209497955277,5400.35953573709,
5.56,5.56,1,1,1,0,0,-0.482109749583424,5404.96399446512,
5.58,5.58,1,1,1,0,0,-0.482009971409248,5409.56785714672,
5.6,5.6,1,1,1,0,0,-0.481910223037395,5414.17171982831,
5.62,5.62,1,1,1,0,0,-0.481810474665542,5418.77617855634,
5.64,5.64,1,1,1,0,0,-0.481710726293688,5424.15251742065,
5.66,5.66,1,1,1,0,0,-0.481610977921834,5431.33189675776,
5.68,5.68,1,1,1,0,0,-0.481511199747659,5438.73658164815,
5.7,5.7,1,1,1,0,0,-0.481411451375805,5445.16077014921,
5.72,5.72,1,1,1,0,0,-0.481311703003952,5447.90437190004,
